Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Crossroads\Crossroads.csproj,File,src\Crossroads\Crossroads.csproj,,,Microsoft.Extensions.Hosting 9.0.10,,,,,"Microsoft.Extensions.Hosting, 9.0.10  Recommendation:  Remove Microsoft.Extensions.Hosting, and replace with new package Microsoft.Extensions.Hosting 10.0.4"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Crossroads\Crossroads.csproj,File,src\Crossroads\Crossroads.csproj,,,Microsoft.Extensions.Configuration 9.0.10,,,,,"Microsoft.Extensions.Configuration, 9.0.10  Recommendation:  Remove Microsoft.Extensions.Configuration, and replace with new package Microsoft.Extensions.Configuration 10.0.4"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Crossroads\Crossroads.csproj,File,src\Crossroads\Crossroads.csproj,,,Microsoft.Extensions.DependencyModel 9.0.10,,,,,"Microsoft.Extensions.DependencyModel, 9.0.10  Recommendation:  Remove Microsoft.Extensions.DependencyModel, and replace with new package Microsoft.Extensions.DependencyModel 10.0.4"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Crossroads\Crossroads.csproj,File,src\Crossroads\Crossroads.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Crossroads\Crossroads.csproj,File,src\Crossroads\Commands\InspectCommand.cs,39,23,T:System.CommandLine.Option,,,,,"PackageOption = new Option<string>(                     new[] { ""--package"" },                      description: ""Specify path to the generated package""                   )          {              IsRequired = true          }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Crossroads\Crossroads.csproj,File,src\Crossroads\Commands\InspectCommand.cs,31,12,T:System.CommandLine.Invocation.ICommandHandler,,,,,"Handler = CommandHandler.Create<IHost, string, IConsole>(async (host, package, console) =>               {                  var inspectService = host.Services.GetRequiredService<IInspectService>();                  var consoleOutput = await inspectService.InspectLauncherPackage(package);                  Console.WriteLine(consoleOutput);              });"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Crossroads\Crossroads.csproj,File,src\Crossroads\Commands\InspectCommand.cs,31,12,T:System.CommandLine.Invocation.ICommandHandler,,,,,"Handler = CommandHandler.Create<IHost, string, IConsole>(async (host, package, console) =>               {                  var inspectService = host.Services.GetRequiredService<IInspectService>();                  var consoleOutput = await inspectService.InspectLauncherPackage(package);                  Console.WriteLine(consoleOutput);              });"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Crossroads\Crossroads.csproj,File,src\Crossroads\Commands\InspectCommand.cs,31,12,P:System.CommandLine.Command.Handler,,,,,"Handler = CommandHandler.Create<IHost, string, IConsole>(async (host, package, console) =>               {                  var inspectService = host.Services.GetRequiredService<IInspectService>();                  var consoleOutput = await inspectService.InspectLauncherPackage(package);                  Console.WriteLine(consoleOutput);              });"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Crossroads\Crossroads.csproj,File,src\Crossroads\Commands\InspectCommand.cs,29,12,T:System.CommandLine.Option,,,,,AddOption(PackageOption);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Crossroads\Crossroads.csproj,File,src\Crossroads\Commands\InspectCommand.cs,29,12,M:System.CommandLine.Command.AddOption(System.CommandLine.Option),,,,,AddOption(PackageOption);
